ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
97,2652,4970,7697,43980
465,1160,2807,2193,11214
451,1294,2877,2666,13587
96,2483,5015,5694,33621
95,3684,5017,6716,45360
93,2765,5019,9003,48339
92,2756,5035,9021,48252
91,2057,5061,5156,26995
90,2779,5089,9051,48418
436,1085,2953,2173,11151
22,5159,6051,17485,93951
88,2167,5110,5951,27646
432,1225,2986,2440,12202
113,3447,4722,12122,57645
86,2752,5119,9588,46370
85,1968,5138,4626,23774
84,2738,5154,10576,50427
83,2865,5165,10034,47370
82,2269,5171,7460,39971
81,2542,5176,7343,37595
80,2723,5185,9487,48710
79,2152,5192,5022,25174
78,3363,5240,11722,52294
77,2680,5264,8837,44828
425,1266,3029,2628,13144
393,1280,3179,2573,13166
107,3000,4800,7500,45700
75,2822,5295,8221,42998
211,2504,3940,7021,42760
73,2327,5340,7270,40919
72,2717,5365,7898,44804
71,2769,5366,9034,48299
70,1945,5380,4714,25729
161,2392,4269,7055,41907
68,2171,5402,7307,37745
229,2700,3840,9000,310542
89,3845,5097,10402,68557
65,2701,5442,7979,44254
378,1012,3248,1802,10726
347,1600,3350,3300,14000
64,3157,5451,10396,54455
205,2721,3964,9057,49228
61,3084,5460,12484,60436
62,2748,5460,8116,40490
60,2361,5461,7996,36312
139,2735,4435,8987,49131
58,3573,5506,6850,43957
57,2346,5512,6800,30000
348,1600,3350,3300,15762
326,1118,3448,2348,12452
56,3721,5516,5487,47568
446,1906,2922,4037,25427
53,3178,5538,12649,64868
52,3179,5541,12565,59440
51,2354,5574,6689,31051
50,2882,5602,9300,51597
49,2737,5609,10187,49795
47,3502,5613,6839,43579
46,2271,5618,5357,25468
322,1375,3474,3070,14801
45,3738,5653,6383,46482
44,3287,5708,11696,53050
42,2732,5750,9022,47442
317,1566,3498,3014,12819
41,2092,5770,5045,25151
40,2742,5775,8910,45816
39,4227,5784,12592,74492
316,1379,3508,3062,14828
37,2041,5788,5125,24765
304,1412,3540,3257,15209
38,3831,5788,9588,47409
36,2986,5789,10029,54747
35,2909,5797,10018,52285
34,2953,5800,9363,49285
33,3837,5803,9590,47438
31,1842,5827,4065,21873
240,2822,3787,6911,36593
29,2806,5854,10773,53286
28,2180,5857,6061,27944
27,3767,5864,12678,62881
26,2070,5941,4816,26125
25,3240,5995,11250,50250
24,2772,5997,9495,48983
23,3030,6032,9097,48623
190,2362,4085,5804,32712
21,2767,6090,9445,49016
20,2461,6100,7659,38433
300,1638,3550,3493,17840
19,3154,6116,9211,40222
18,3018,6262,10181,52913
17,3500,6264,8826,62036
298,1568,3553,3392,17478
16,3762,6290,17001,79937
15,2574,6439,7648,33375
14,3887,6488,16002,73452
13,2741,6504,9723,48390
12,3714,6540,12528,76447
11,3437,6542,14887,65993
10,3300,6600,9500,37600
210,1555,3944,2970,15854
9,2899,6680,10862,53868
7,3044,6763,7882,39223
8,3607,6763,12514,58727
6,4233,6831,18663,91950
5,2944,7049,11139,53671
219,2535,3884,6275,35159
108,3000,4800,9000,51000
2,4637,8016,20953,103639
1,6377,9695,25220,136268
