ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
924,549,1017,615,3435
921,542,1019,560,3280
919,410,1032,444,2006
917,549,1053,608,3639
915,591,1074,612,3607
914,628,1075,882,3868
911,741,1086,1031,5399
910,592,1087,654,3621
909,724,1088,1041,5407
908,560,1094,609,3196
807,1831,1627,5195,21355
776,2074,1696,3939,18461
749,2100,1740,5100,18814
676,1873,1921,3861,30694
673,1874,1928,4622,22697
669,1985,1955,4336,19907
208,2183,3950,5519,30024
627,2400,2100,7200,34000
906,569,1106,609,3529
902,865,1109,1001,6342
900,571,1117,611,3544
901,571,1117,611,3544
897,620,1122,897,3935
656,1618,1996,3669,29668
898,742,1122,1038,5449
896,638,1124,898,3903
895,586,1127,630,3586
843,984,1416,1822,9643
893,579,1128,615,3559
891,573,1133,630,3502
889,624,1140,903,3961
890,761,1140,1043,5476
885,761,1161,1043,5476
884,901,1172,1241,6562
883,595,1178,627,3627
87,3687,5115,11077,69254
822,1016,1566,1884,9873
882,728,1179,1060,5237
878,580,1194,629,3617
877,904,1195,1265,6499
860,942,1258,1305,6668
861,942,1258,1305,6668
859,949,1270,1295,6702
858,956,1275,1337,6804
873,771,1208,1067,5619
851,816,1329,1092,5805
849,858,1351,1098,5971
847,997,1386,1354,7012
846,1001,1399,1362,7081
844,994,1405,1348,6987
841,973,1436,1352,6902
840,1001,1438,1362,7081
839,979,1440,1370,6981
837,1003,1447,1364,7093
838,1003,1447,1364,7093
834,984,1452,1363,7017
824,1036,1556,1478,7373
871,580,1214,634,3617
868,599,1228,639,3669
863,604,1253,649,3725
854,648,1311,539,3812
853,628,1324,665,3820
850,659,1343,532,3853
845,682,1400,974,4315
835,720,1452,1363,5000
836,720,1452,1363,5000
829,702,1534,1026,5217
827,791,1546,925,5314
818,622,1585,944,5468
814,791,1594,1104,5787
665,1841,1964,5153,21558
660,1873,1981,3861,30694
659,1862,1983,3822,30572
654,1646,1998,3707,29633
651,1337,2013,3162,17208
646,1836,2028,3843,30421
630,1618,2085,3770,29465
624,1697,2108,3771,29953
621,1719,2122,3768,30070
617,1671,2146,3590,30102
609,1859,2162,3772,30604
608,1816,2169,3796,30347
607,1749,2170,3680,31056
606,1820,2184,3816,30346
604,1639,2195,3752,29500
596,2099,2225,6439,33986
590,1645,2259,3711,29674
587,1803,2273,3725,17824
581,1806,2290,3729,17849
582,1806,2290,3729,17849
553,2100,2400,5400,31000
548,2004,2433,5077,34740
542,1959,2459,6368,32199
812,680,1614,1039,5083
811,707,1615,1059,4575
809,785,1623,1142,5760
805,667,1633,963,4630
804,719,1636,1103,5264
803,729,1639,1108,5391
801,762,1644,961,7663
798,806,1648,1135,6121
797,748,1654,913,5118
791,701,1664,991,4885
790,612,1669,969,5569
788,719,1670,1103,5264
784,703,1679,831,4767
783,902,1681,1282,6799
780,819,1686,1111,5910
779,668,1689,962,4843
778,778,1690,1079,5903
775,841,1696,1174,6197
771,923,1704,1082,7568
